id	nm	lat	lon	countryCode
2267254	Lagoa	37.135349	-8.453190	PT
2267489	Guia	37.129589	-8.299620	PT
2267538	Grandola	38.177181	-8.566750	PT
2267624	Golega	39.404739	-8.486250	PT
2268252	Ferreira_do_Alentejo	38.049999	-8.033330	PT
2268313	Fazendas_de_Almeirim	39.175529	-8.569270	PT
2268326	Fatima	39.620708	-8.652370	PT
2268358	Famoes	38.788040	-9.210330	PT
2268411	Estremoz	38.844318	-7.585850	PT
2268563	Ericeira	38.962749	-9.415630	PT
2268615	Elvas	38.881500	-7.162820	PT
2268916	Costa_de_Caparica	38.644581	-9.235560	PT
2268946	Coruche	38.959549	-8.525240	PT
2269413	Cercal	37.806011	-8.671530	PT
2269494	Castro_Verde	37.698280	-8.085810	PT
2269508	Castelo_de_Vide	39.416241	-7.456800	PT
2269556	Castanheira_do_Ribatejo	38.992981	-8.973460	PT
2269557	Castanheira_de_Pera	40.007172	-8.210480	PT
2269946	Carvoeiro	37.090511	-8.453810	PT
2270023	Cartaxo	39.160221	-8.787410	PT
2270084	Carregado	39.023621	-8.976920	PT
2270211	Caranguejeira	39.746189	-8.707400	PT
2270258	Canico	32.633331	-16.850000	PT
2270290	Canecas	38.813210	-9.226790	PT
2270336	Campo_Maior	39.017738	-7.064970	PT
2270361	Campanario	32.665779	-17.035761	PT
2270386	Camacha	32.679192	-16.844620	PT
2270486	Cacilhas	38.687729	-9.146630	PT
2270755	Borba	38.805531	-7.454650	PT
2270774	Boliqueime	37.137180	-8.158200	PT
2270813	Bobadela	38.807739	-9.099250	PT
2270935	Benedita	39.424702	-8.969960	PT
2270940	Benavente	38.979191	-8.807590	PT
2271006	Batalha	39.660252	-8.824750	PT
2271350	Aveiras_de_Cima	39.137959	-8.899320	PT
2271598	Arco_da_Calheta	32.715019	-17.149740	PT
2271682	Amor	39.804039	-8.859840	PT
2271782	Alvor	37.129940	-8.591740	PT
2271878	Alpiarca	39.257118	-8.581870	PT
2271926	Almeirim	39.209030	-8.616430	PT
2271945	Almargem	38.844849	-9.273160	PT
2271965	Aljustrel	37.877590	-8.165160	PT
2271966	Aljubarrota	39.567162	-8.929250	PT
2271968	Aljezur	37.319149	-8.803300	PT
2272010	Alferrarede	39.483330	-8.166670	PT
2272036	Alenquer	39.053150	-9.009280	PT
2272144	Alcochete	38.755341	-8.960860	PT
2272190	Alcanede	39.415009	-8.821890	PT
2272197	Alcains	39.916420	-7.456550	PT
2272212	Alcacer_do_Sal	38.373260	-8.514440	PT
2272447	Abrantes	39.466671	-8.200000	PT
2732241	Vizela	41.382420	-8.248870	PT
2732444	Vilar_do_Paraiso	41.089741	-8.621100	PT
2732516	Vila_Praia_de_Ancora	41.810982	-8.852550	PT
2732547	Vila_Nova_de_Famalicao	41.407970	-8.519780	PT
2732551	Vila_Nova_da_Telha	41.071701	-8.641460	PT
2732626	Vila_Frescainha	41.538460	-8.639710	PT
2732705	Vila_Cha	40.866669	-8.466670	PT
2732980	Valongo	40.616669	-8.450000	PT
2733038	Valega	40.836288	-8.580610	PT
2733153	Vale_de_Cambra	40.849701	-8.393890	PT
2733249	Valbom	41.132469	-8.564140	PT
2733262	Valadares	41.147369	-7.981200	PT
2733272	Vagos	40.556000	-8.681750	PT
2733304	Urgeses	41.427200	-8.297960	PT
2733660	Tavarede	40.170792	-8.845660	PT
2733851	Soure	40.059891	-8.626050	PT
2733902	Sobreira	41.523708	-7.802340	PT
2733992	Silvalde	40.993969	-8.626080	PT
2734170	Selho	41.419380	-8.345990	PT
2734246	Satao	40.741779	-7.732860	PT
2734338	Sao_Roque	40.872162	-8.471490	PT
2734339	Sao:Romao_do_Coronado	41.285439	-8.563200	PT
2734351	Sao_Pedro_do_Sul	40.755371	-8.072650	PT
2734395	Sao_Miguel_do_Couto	41.331669	-8.461850	PT
2734493	Sao_Joao	40.868019	-8.606720	PT
2734523	Sao_Felix_da_Marinha	41.035549	-8.622580	PT
2734570	Santo_Tirso	41.342571	-8.477460	PT
2734729	Santa_Cruz do Bispo	41.225498	-8.683600	PT
2734788	Sangalhos	40.486778	-8.469680	PT
2734803	Sandim	41.035080	-8.507000	PT
2734809	Sande	41.701900	-8.392460	PT
2734858	Salreu	40.739712	-8.557200	PT
2735167	Ribeirao	41.360809	-8.567740	PT
2735340	Refojos_de_Basto	41.513180	-7.995170	PT
2735366	Recarei	41.153561	-8.411780	PT
2735415	Real	41.638821	-8.180980	PT
2735752	Prado	41.601528	-8.471370	PT
2735803	Povoa_de_Lanhoso	41.578732	-8.281970	PT
2736067	Ponte	41.470570	-8.329900	PT
2736124	Poiares	40.210258	-8.257460	PT
